Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
167621,1.2587,1.0591,0.0176,0.548,1.3139,0.9864,-1.2823,-0.3758,0.4348,0.088,0.1476,1.3494,-1.4707,-0.5956,-0.314,-0.9946,-0.7667,0.2533,1.1491,-1.2345,0.5635,0.8837,-0.1213,0.6857,0.0393,-0.4627,-0.6872,0.6459,172.63,0
69342,0.5683,-1.5145,-2.6199,-0.6069,-0.9158,0.876,0.6643,-1.2191,0.8474,-1.0022,-0.0862,-0.2939,0.1144,0.8186,0.6384,0.3499,0.6499,0.4785,-0.627,-0.7174,-0.47,0.4993,-0.2501,2.3358,-0.8193,-1.0989,0.7685,1.4218,82.54,0
99471,-0.2848,2.2605,-0.2668,-0.6517,-0.7695,1.5273,1.7438,0.6394,0.3433,-0.9527,2.0222,0.8931,-1.4513,-0.6518,0.2736,1.1438,1.0745,-0.9511,0.3419,0.4288,-0.0392,-1.2438,-0.0198,-1.0575,-0.8205,-0.4751,0.5456,-0.0092,247.26,0
12351,0.3702,-0.4412,0.8096,1.2753,-0.8103,-0.5612,-0.9257,-0.6367,-0.0113,1.2694,1.4125,-0.5344,1.5633,1.3704,0.0094,-1.7109,-0.4474,0.7033,0.044,0.0676,-0.2782,-1.5704,1.6679,-0.2977,-0.4738,-0.0229,-1.355,-1.3602,254.32,0
52143,0.9721,1.3894,-1.6837,-0.4253,-0.0332,-0.0064,-0.0891,0.1772,1.8536,-0.8851,0.4208,-0.7469,1.9169,0.7302,0.3999,-0.1385,-0.3773,0.0333,0.1134,-1.7002,0.7858,0.82,-0.7467,-0.2416,0.7297,-0.7536,0.296,1.2093,365.24,0
52730,-0.2328,-0.9819,-0.4568,-0.8522,0.8851,-0.6463,0.0048,0.3637,1.2596,0.1674,-0.1021,-0.0634,-0.0912,-0.3362,0.2303,0.1038,-0.5817,1.0514,-0.2052,1.1343,-1.5547,-0.3912,0.9685,-0.8826,0.0498,1.1307,-0.3714,0.2454,329.83,0
92876,-0.995,0.5182,-0.1961,-1.483,0.453,-0.0452,-0.7453,0.5229,0.4881,-0.5775,0.4004,1.0151,-0.7127,0.3809,0.0028,2.266,-1.8623,0.6953,-0.3062,-0.1002,1.9016,-0.0086,2.2409,-0.4421,0.3505,-0.4908,-0.6907,0.0625,201.12,0
15370,0.0336,0.0565,-1.7645,1.4519,0.1794,-0.7997,-0.5333,-1.5291,0.3064,-1.4404,-0.6467,0.0543,0.07,0.34,-0.0317,-0.3532,-0.1248,0.2955,-2.2203,0.3261,-0.3357,-0.0665,-1.9501,-0.096,0.3409,0.1566,0.6572,-0.7761,470.86,0
149336,0.0319,1.3433,-0.7627,-0.7107,-1.0521,-0.6104,0.6199,-0.2696,-0.1557,-0.7219,-1.1838,0.9089,-0.2694,0.8292,0.0045,-0.3881,-3.475,0.9322,0.39,-0.0096,0.1801,0.7641,1.884,-0.8399,0.6972,-0.6607,1.0376,1.5849,352.07,0
160347,1.8048,-0.1837,-1.4602,-0.2685,-2.1821,-0.7795,1.6323,1.2431,-0.1906,2.0912,-0.0277,-0.5806,-0.1363,0.6741,-0.8404,1.2728,0.7149,-0.9471,-0.0154,2.1852,1.3467,0.4451,0.1436,-0.2637,-0.2654,0.4582,0.5889,-0.0752,221.48,0
112115,-0.4519,-0.1819,1.4422,-0.5187,0.1605,0.2182,-0.8636,0.9287,-0.2643,0.1248,-1.5342,1.7479,0.281,-0.0496,-0.9488,1.1796,-0.4658,-0.8099,-1.8956,-0.7489,1.6414,-0.2723,0.6565,-0.3306,0.9372,1.5295,0.4562,0.9246,90.5,0
87080,0.2082,-1.0088,-0.786,-1.4278,0.0068,0.5889,-0.2959,-0.9363,1.0948,0.2718,0.6976,2.1276,-1.0863,1.5019,0.4905,-0.5137,-0.5401,-0.8514,-0.0678,0.3732,0.1358,-0.9201,-1.506,-0.0891,0.4979,-0.746,2.0167,0.3533,131.35,0
152198,0.7639,-0.1832,0.8296,0.6724,-0.1166,-0.8598,-0.9401,-0.7407,-0.9845,0.8658,-0.0466,1.5701,2.2793,0.0242,-1.548,-0.3815,-0.0753,-1.4884,-0.2505,0.2869,-0.4594,-0.7684,-0.7588,1.7867,-0.1596,-0.8299,-0.3729,0.9543,201.8,0
77504,-0.6149,-0.2188,-0.4974,-0.8402,-0.0072,-0.6183,-0.9261,-0.4294,0.4274,-0.7361,0.4346,1.7007,-0.6912,-0.5478,-1.4013,0.5367,-1.7725,-0.1246,1.5803,-0.4075,-0.4428,-0.6867,-0.716,-1.1911,2.0522,1.3645,0.0818,0.8583,403.47,0
38627,0.7406,0.1146,-1.9233,0.3029,0.9281,0.4571,-0.4509,-0.4787,-0.3862,-1.1022,0.0552,1.46,1.6664,0.0581,0.0596,-0.471,-0.5545,0.2819,1.1662,-0.3154,0.7197,0.235,0.6397,-0.9001,0.4712,-1.4074,1.3415,-0.1022,475.07,0
116017,-1.2111,-1.0364,-1.8835,-0.0566,-2.0373,-0.632,-0.0452,-1.1338,-0.0435,0.7524,-1.1053,-1.2968,-1.3914,-0.1873,-0.0618,0.3968,-0.1773,0.7763,-0.5287,1.1288,0.468,0.5541,-0.54,-1.4695,0.9411,0.4018,-0.9999,-0.2743,104.21,0
110138,-1.317,1.0968,0.1873,-0.066,0.9582,-0.8924,-2.3668,0.3447,-0.299,0.9482,1.4769,-1.1964,-1.5821,-0.3874,0.6583,-2.0319,-0.7962,0.059,-0.9884,0.0894,-0.8729,-1.5615,-0.3095,-1.891,2.4587,-1.3609,-2.1293,-0.4637,296.35,0
7104,0.9142,0.5325,0.4243,-0.4702,-0.0568,0.8887,-0.8709,0.2548,0.5874,-0.5542,0.9976,-0.3158,0.5733,-0.9707,-0.002,-0.3271,0.6803,-0.212,2.2815,1.0495,0.2431,0.0628,0.0326,1.9117,-0.5339,-0.5099,-0.4861,0.0815,473.93,0
121905,-0.5328,-1.6213,0.6752,1.1888,-0.0064,-0.4932,1.0909,-2.345,0.1775,0.1433,-0.5709,1.3916,0.9707,-0.2612,-0.0867,-0.388,-0.5121,-1.3082,1.3799,1.028,0.7982,-1.0943,2.0808,1.9802,0.1881,-0.9042,-0.8664,0.4185,253.47,0
89451,1.0406,0.0829,-1.0641,0.0656,-1.3659,1.6056,-0.5579,0.1442,0.5437,1.0861,-0.8099,-1.1215,1.5108,-0.8353,-1.824,0.4092,-0.7373,-0.4842,0.0661,2.3347,-0.1979,1.0768,0.0039,-1.2989,-0.4453,-0.7886,-0.8861,0.0317,244.29,0
93015,0.27,-0.8713,1.1352,-1.0617,-0.0235,0.1409,0.4008,-0.1356,-0.2165,-1.1377,0.0785,-1.5297,-0.7069,-0.9221,0.1178,-0.426,0.2724,1.5099,-0.4565,1.2385,-1.2131,0.2058,-1.4773,0.7469,-0.7573,1.3615,-0.0997,0.7544,61.21,0
50484,-0.6598,1.5103,1.4585,-0.465,0.5883,1.5289,-0.2212,1.3162,0.0864,-1.345,1.8766,-0.231,-0.2711,0.9066,-0.5061,1.4853,0.2137,0.218,0.783,0.2793,1.3383,-0.4905,0.0082,-0.4652,0.8156,0.063,-0.9046,0.1217,482.78,0
66185,1.0625,-0.4125,0.443,-0.9098,1.2592,0.6325,0.5365,0.1879,-0.7856,-0.3274,0.5018,-0.0192,0.1237,-1.3598,0.1811,-0.6919,-1.0833,-0.1547,-1.8565,0.6986,0.852,-0.0534,-0.9938,-0.9454,-0.1511,-2.4237,0.1805,0.6644,330.55,0
41171,0.0806,1.2647,0.5678,0.8531,-0.4189,-1.0459,0.8071,0.1679,-0.4045,1.9398,0.6574,0.3153,-0.1616,1.7627,-1.5254,-0.9652,0.159,0.4675,0.0895,0.5609,-0.0543,0.5513,1.6508,0.6492,-1.542,-1.0486,0.9463,-0.511,234.88,0
79715,-0.7427,-2.273,-1.1669,-0.0035,0.2496,0.1381,-0.8029,0.3654,-0.001,0.4377,1.8472,-0.4507,-2.1853,-1.1169,1.4937,-0.004,-0.035,0.2844,0.0444,-1.1268,-1.2913,-1.8133,0.5537,1.2058,-0.7705,-0.8716,0.777,0.5016,167.32,0
27420,0.5604,-0.6974,-0.2858,-0.7735,1.7253,-0.6188,-1.0474,-0.341,-0.3485,0.8121,0.9998,-0.1895,-2.965,-0.2727,-0.6856,-1.0461,-0.5512,0.3342,-1.0857,1.283,-1.1915,-1.1977,0.3632,1.209,0.9648,-0.4713,-0.1625,-0.4822,486.6,0
159612,0.4796,-1.4981,-0.0618,0.154,-0.5975,0.3899,0.2666,-0.412,1.3653,-0.4717,1.318,1.9127,-0.4065,1.5097,-0.9898,0.5812,-1.088,0.1919,0.3998,0.513,-1.3437,-0.9683,0.2489,0.2877,0.2787,-1.9433,-0.9422,1.4873,134.32,0
672,-0.1725,0.8243,-3.1545,-1.9178,-0.566,0.0369,-0.8932,-0.2209,-1.1862,-0.4013,-0.8468,0.244,0.5814,1.4329,-0.6564,-0.318,0.0477,-0.2949,-0.052,-1.5622,0.3718,-0.9152,-0.957,-1.5881,1.161,-0.1406,1.1495,0.2723,295.5,0
